Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
The Firemens Ball,"Comedy, Drama","Classic Comedies,Comedies,Classic Movies,Czech Movies",Czech,Movie,4.3,"Hungary,Romania,Czech Republic,Poland,Slovakia",1-2 hour,Milos Forman,"Jaroslav Papousek, Milos Forman, Václav Sasek, Ivan Passer","Josef Valnoha, Frantisek Debelka, Josef Sebánek, Jan Vostrcil",Not Rated,7.5,91.0,,,2.0,,29 Sep 1968,2019-10-29,Filmové studio Barrandov,https://www.netflix.com/watch/60011128,https://www.imdb.com/title/tt0061781,"When a group of small-town firemen find out that their chief is retiring, they organize a party to end all parties. But as soon as the celebration commences, the attendees experience one disaster after another.",9646.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABebq1uwTkeUS_KXvPSuOEVtb0aeBnNcKct8f5UJsK9JJVjxYFyK_H6o2hn_3QbDcOqHVsNFJ8Tzanr0nOzd2fjDfdA.jpg?r=0d0,https://m.media-amazon.com/images/M/MV5BYTgzYWZhOGItMzcwMC00ZGQ1LTg5MjMtNDE5YmE4OGYzNGNkXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_SX300.jpg,https://www.youtube.com/watch?v=GfJI4LzLBUw,YouTube
The Shop on Main Street,"Drama, War","Dramas,Classic Dramas,Classic Movies","Slovak, Yiddish, German, Latin",Movie,5.6,"Hungary,Romania,Czech Republic,Poland,Slovakia",> 2 hrs,"Ján Kadár, Elmar Klos","Ján Kadár, Ladislav Grosman, Elmar Klos","Frantisek Zvarík, Jozef Kroner, Ida Kaminska, Hana Slivková",Not Rated,8.2,100.0,,6.0,4.0,,24 Jan 1966,2019-10-29,Filmové studio Barrandov,https://www.netflix.com/watch/60011355,https://www.imdb.com/title/tt0059527,"An inept Czech peasant is torn between greed and guilt when the corrupt, Nazi-backed bosses of his small town appoint him Aryan controller of an old Jewish widows button shop in this drama that earned an Academy Award for Best Foreign Film.",7986.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRH4cuohWd8j1uJtr8_NBQV-Rfe-qq_oWIB3BQMUH_X0S_SZwJaJadjl7DfuJb5zL7e6Vlxsfy7xNzxuPY6-OnW0BQ.jpg?r=acd,https://m.media-amazon.com/images/M/MV5BMTU1MzczNTMzOV5BMl5BanBnXkFtZTcwOTUzODcyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Bi3Fid3hrNg,YouTube
Closely Watched Trains,"Comedy, Drama, Romance, War","Classic Dramas,Dramas,Comedies,Classic Comedies,Movies Based on Books,Czech Movies,Classic Movies","Czech, German",Movie,4.4,"Romania,Czech Republic,Slovakia",1-2 hour,Jirí Menzel,"Jirí Menzel, Bohumil Hrabal","Josef Somr, Vladimír Valenta, Vlastimil Brodský, Václav Neckár",Not Rated,7.7,100.0,,2.0,7.0,,18 Nov 1966,2019-10-29,Filmové studio Barrandov,https://www.netflix.com/watch/60010240,https://www.imdb.com/title/tt0060802,A railroad apprentice working at a train station in Nazi-occupied Czechoslovakia carves out some excitement by exploring his sexuality.,11566.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAenckEdvFrTJeRRPSgWvM59WHrof_v6S6Gu7OxRbkYVj1Y3U4VBM5NfrV-O2vAWH-dQ9fMkm3TuiWrwbtqglWNW_8g.jpg?r=5a9,https://m.media-amazon.com/images/M/MV5BZmQ5MDdlMjktYzVmNy00YzNmLWFiY2QtYzI3ZDE2ZDZiNjAxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Igc0Jp62kEg,YouTube
Shine On with Reese,"Documentary, Reality-TV","Documentaries,Docuseries,US TV Shows",English,Series,8.7,"Switzerland,Turkey,South Africa,Iceland,United States,Portugal,Italy,Mexico,Thailand,Belgium,Australia,France,Japan,Russia,Netherlands,Hong Kong,Singapore,Poland,Sweden,Hungary,Argentina,India,Israel,Slovakia,Lithuania,Germany,Romania,Brazil,Spain,United Kingdom,Canada,Greece,Czech Republic,South Korea,Malaysia,Colombia",< 30 minutes,,,Reese Witherspoon,,7.7,,,,,,17 Jul 2018,2019-10-28,,https://www.netflix.com/watch/81169914,https://www.imdb.com/title/tt8689470,"In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",235.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcRGhDjCdWlqzyMfWTkHJSXvymcgJ3YCdG-llfeScW3czJhjYxWCEdqwMQem6WDUGUmADF1vtYWbKZ9DmorLIdVHSg.jpg?r=826,https://m.media-amazon.com/images/M/MV5BMTU0ODIyNTQ0OV5BMl5BanBnXkFtZTgwNDY1Njk4NTM@._V1_SX300.jpg,,
Little Miss Sumo,"Documentary, Short, Biography, Sport","Biographical Documentaries,Biographical Movies,Sports Documentaries,Documentaries,Social & Cultural Docs,Documentaries,Japanese Films,Sports Films,Sports & Fitness,Martial Arts, Boxing & Wrestling","Japanese, English",Movie,8.2,"Portugal,Argentina,Spain,Turkey,Italy,South Africa,Switzerland,Iceland,Mexico,Thailand,Belgium,Russia,France,South Korea,Japan,Hong Kong,Singapore,Sweden,Netherlands,Hungary,Australia,Poland,Slovakia,Israel,Lithuania,Romania,Germany,Brazil,India,United Kingdom,Canada,Czech Republic,United States,Greece,Colombia",< 30 minutes,Matt Kay,Matt Kay,Hiyori Kon,,6.7,,,,3.0,,28 Oct 2019,2019-10-28,,https://www.netflix.com/watch/81110394,https://www.imdb.com/title/tt9195844,"In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime.",345.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXUFq8Y_ZOr2O15YtNnIBgqMDQIAnCDrU2canMd-A0YElVnWxn8JrfbaHI2zTcU4nqtG4i4fZBOi5XVVM3YWdIYZWBEdDH7oV1MIdUgHM7Gn9GHREqutp0B1mRA.jpg?r=017,https://m.media-amazon.com/images/M/MV5BYWI1MGNjZTQtNDJlYy00M2M0LWEwYWYtNzE2ZWFmZTkyNzUzXkEyXkFqcGdeQXVyOTQyOTUwMDU@._V1_SX300.jpg,https://www.youtube.com/watch?v=BiCiphrgQcw,YouTube
"Wait, My Youth",Romance,"Teen TV Shows,Chinese TV Shows,Teen Romance,Mainland Chinese TV Shows",Chinese,Series,9.3,"Romania,Thailand,Turkey,France,Australia,Belgium,Russia,Poland,Singapore,Sweden,Hungary,Germany,India,Lithuania,Slovakia,Switzerland,Spain,United Kingdom,Argentina,Canada,Iceland,South Africa,Mexico,Czech Republic,Portugal,Japan,Greece,South Korea,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Li Jia Qi, Yiqin Zhao",,8.6,,,,,,19 Mar 2019,2019-10-26,,https://www.netflix.com/watch/81197399,https://www.imdb.com/title/tt12071466,"Six hopeful friends journey into adulthood to create the moments that pull them together, draw them apart and make them fall in love.",61.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW9JzRUPV3Zu5ztaSEp9G340tU43epaqPPSuvvgYMkv7QM4xyW8M71nsiypaeu4Pr0A3RV4lhmQG8vGA99wR5zgrOQ.jpg?r=feb,https://m.media-amazon.com/images/M/MV5BNDc5NjZmYjQtMGRlNi00MzdjLTk4ZjgtYmZmNzJlMjRjOWQ0XkEyXkFqcGdeQXVyMTAwMDE3MjM1._V1_SX300.jpg,,
The Last Whistle,"Drama, Sport","Dramas,Sports Dramas,Sports Movies,Football Movies",English,Movie,7.5,"Australia,South Africa,United Kingdom,Canada,United States",1-2 hour,Rob Smat,Rob Smat,"Brad Leland, Deanne Lauvin, Les Miles, Jim O'Heir",PG,5.0,57.0,,,,,28 Jun 2019,2019-10-26,,https://www.netflix.com/watch/81123469,https://www.imdb.com/title/tt8318348,"After a star player dies during football practice, his coach’s career and reputation are on the line as he refuses to quit his win-at-all-costs style.",257.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWTIdlxQmzK0NXzE5J84q1nU5d2MKV3hWVraecsdixmC4xLwWqOfRLKV5HVH_9A7BVZGFIK-Xy7oxi7kRBIXs4PB7g.jpg?r=f73,https://m.media-amazon.com/images/M/MV5BZDYwYTI2MGYtOGM2NS00YWU1LWJlMzctNmRlYmIzNTFkM2E3XkEyXkFqcGdeQXVyNDM2NDAyNjA@._V1_SX300.jpg,,
A Little Thing Called First Love,Drama,"Teen TV Shows,Chinese TV Shows,Teen Romance",Chinese,Series,8.9,"South Africa,Iceland,Mexico,Thailand,Czech Republic,Australia,Belgium,Japan,France,Singapore,Poland,Sweden,Russia,Portugal,Hong Kong,India,Germany,Hungary,Turkey,Lithuania,Slovakia,United Kingdom,Argentina,Spain,Canada,Romania,Switzerland,South Korea,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Wei Chai, Bowen Wang, Kuan-lin Lai, Jin Mai Jaho",,8.0,,,,,,23 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81185502,https://www.imdb.com/title/tt11152058,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.,211.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbHncmDplMKfsZ4iUUxy58wPuLewNYHu0RTegTH-vYSiPgZiD_G9qec1n05ekazY4IDv4wOAfepBoyR0XX363y-3AQ.jpg?r=e30,https://m.media-amazon.com/images/M/MV5BNzMwZWZkNmEtNmQ3Mi00N2M3LTg0ODAtMmJiYjQ5YTkyMjFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
Assimilate,"Horror, Mystery, Sci-Fi, Thriller","Alien Sci-Fi,Thrillers,Teen Screams,Sci-Fi & Fantasy,Sci-Fi Thrillers,Sci-Fi Horror Movies,Horror Movies",English,Movie,5.6,"United States,Canada",1-2 hour,John Murlowski,"John Murlowski, Steven Palmer Peterson","Katherine McNamara, Andi Matichak, Joel Courtney, Calum Worthy",TV-PG,5.3,61.0,,,,,24 May 2019,2019-10-25,"Maple Island Films, Sprockefeller Pictures",https://www.netflix.com/watch/81136744,https://www.imdb.com/title/tt5238904,A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.,4429.0,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYWCiVvl5kRFUv2AMzaEsirgOOUfoNpUdHUzIV_TqJBZr73xJW0_uJBI4Sx0VkKFeq258SSPk1k7J6ld7q3-pJQ4-w.jpg?r=5fb,https://m.media-amazon.com/images/M/MV5BMGQyZWNmMTAtNWE2OS00YmE0LWE4OTEtY2Y0MTk3MGQwMzczXkEyXkFqcGdeQXVyNTk3MjE0MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=_EtFRhzFvDM,YouTube
Dolemite Is My Name,"Biography, Comedy, Drama","Dark Comedies,Dramas,Comedies,Showbiz Dramas,Movies Based on Real Life,Biographical Movies,Late Night Comedies",English,Movie,4.1,"Romania,Argentina,Spain,United Kingdom,Canada,Mexico,Portugal,South Africa,Belgium,United States,Iceland,Greece,Czech Republic,Thailand,Australia,Russia,Hong Kong,Japan,France,South Korea,Singapore,Poland,Netherlands,Sweden,India,Hungary,Slovakia,Germany,Lithuania,Brazil,Turkey,Italy,Switzerland,Israel,Malaysia,Colombia",1-2 hour,Craig Brewer,"Larry Karaszewski, Scott Alexander","Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson",R,7.3,97.0,76.0,29.0,65.0,,25 Oct 2019,2019-10-25,Netflix,https://www.netflix.com/watch/80182014,https://www.imdb.com/title/tt8526872,"In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",53517.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXrp9aRYfDD-I7HE5dHWVTSnCScXZaJttMN09hFD4cEKeU39oMAMHvHaqeHwNezd_8yDFsE8pw-mlQqi6zfQn_sXaZX1AKbIp8I3u8hYig3A0_hC2yh2-eAJNeM.jpg?r=c66,https://m.media-amazon.com/images/M/MV5BMzFiYWQxYzgtOThmYi00ZmIwLWFlZWMtMzk2NTI2YTYzMjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Ws1YIKsuTjQ,YouTube
It Takes a Lunatic,"Documentary, Biography, Drama","Documentaries,Biographical Movies,Biographical Documentaries,Documentaries,Theatre Arts",English,Movie,8.2,"Argentina,Romania,Spain,United Kingdom,Canada,Mexico,Portugal,South Africa,Belgium,United States,Iceland,Greece,Czech Republic,Thailand,Australia,Japan,Singapore,France,Hong Kong,South Korea,Russia,Poland,Netherlands,Sweden,India,Hungary,Slovakia,Germany,Lithuania,Brazil,Turkey,Italy,Switzerland,Israel,Colombia",> 2 hrs,"Kim Ferraro, Seth Isler, Billy Lyons",,"Michael Douglas, Alec Baldwin, André Bishop, Richard Gere",,6.6,,,,,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81078456,https://www.imdb.com/title/tt11052346,"The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist.",144.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdazA5Tg5CzlUVMSczAM03UowUxJbA54a0ATmWbxlGKIg3YCuLF6sDu1zGp87GUF6OKBpvVvHrrfzVpbka427Xf92OBcTLc_klX0ngGAs8AZnKYoNnu0De2aL8M.jpg?r=054,https://m.media-amazon.com/images/M/MV5BNDc5MDc3MjQtN2IzYS00Njk2LWI3NjUtOTViOGNhZDA0MTZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=87lzqE7DLqk,YouTube
Prank Encounters,Comedy,"US TV Shows,Reality TV,TV Comedies,TV Horror",English,Series,6.6,"Greece,Lithuania,Hungary,Mexico,Brazil,Thailand,Slovakia,Romania,Argentina,United Kingdom,Spain,Canada,Portugal,Belgium,Iceland,South Africa,United States,Czech Republic,Australia,France,Japan,South Korea,Netherlands,Poland,Russia,Sweden,Singapore,Hong Kong,India,Turkey,Germany,Italy,Switzerland,Israel,Malaysia,Colombia",< 30 minutes,,,"Peter Giles, David Storrs, Gaten Matarazzo, Mary Gallagher",TV-MA,5.1,,,,1.0,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81017316,https://www.imdb.com/title/tt10487072,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,1925.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZmOUPKyEQOS-bPr4Plq_IxNqGLrNtSEgp8g9wHKaiJ6etq6A9sMg5Ty8hdVYku8dWrGHsYTGBk4MS_eD9Es17yGgfKRvnoioKQzd3WrZ3mOHBOiQctPj1Wguz0.jpg?r=236,https://m.media-amazon.com/images/M/MV5BYjg1ZDg1NGItY2U2OC00MzkxLTgzODgtNzlkMzA4NDFmM2JlXkEyXkFqcGdeQXVyMzY1MDEzNQ@@._V1_SX300.jpg,,
Rattlesnake,"Drama, Horror, Mystery, Thriller","Thrillers,Horror Movies,Independent Movies",English,Movie,4.9,"Mexico,Thailand,Romania,Spain,United Kingdom,Argentina,Canada,Portugal,Belgium,South Africa,Iceland,United States,Greece,Czech Republic,Australia,France,Japan,Hong Kong,Singapore,South Korea,Netherlands,Russia,Poland,Sweden,India,Hungary,Germany,Slovakia,Lithuania,Brazil,Turkey,Italy,Switzerland,Israel,Malaysia,Colombia",1-2 hour,Zak Hilditch,Zak Hilditch,"Emma Greenwell, Apollonia Pratt, Carmen Ejogo, Theo Rossi",TV-MA,4.6,100.0,,,,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81018455,https://www.imdb.com/title/tt9257484,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",7409.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXuf4Ex0al03BcLKNtsV9_1_pja59zZZk8vtEriYZcBHUO9v2lohvDFkpEdZmcMBBLRYNlXmoitCZcnTllsJ_4Ha7KWsnQ7awTnUrOM3aQhKGCwJMvxI_xC6h94.jpg?r=53d,https://m.media-amazon.com/images/M/MV5BMjlhZTVmMzktMmQzMy00MzQ2LWJkNzQtYTdjMjZjZmY0NjQ5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=LhklHFwmBYw,YouTube
The Awakening of Motti Wolkenbruch,"Comedy, Drama","Romantic Dramas,Dramas,Swiss Movies,Romantic Comedies,Quirky Romance,Comedies,Romantic Movies,Movies Based on Books,International Comedies,International Dramas,European Dramas,European Comedies,European Movies,Romantic European Movies,Campy Movies","German, Yiddish, Hebrew",Movie,6.5,"Portugal,Lithuania,India,Hungary,Mexico,Brazil,Romania,Thailand,Spain,United Kingdom,Argentina,Slovakia,Canada,Belgium,South Africa,Iceland,Czech Republic,Australia,Japan,France,Russia,South Korea,Singapore,Hong Kong,Poland,Netherlands,Sweden,Germany,Turkey,Italy,Israel,Greece,United States,Switzerland,Malaysia,Colombia",1-2 hour,Michael Steiner,Thomas Meyer,"Udo Samel, Joel Basman, Sunnyi Melles, Noémie Schmidt",,6.6,63.0,,1.0,4.0,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81110383,https://www.imdb.com/title/tt4766630,"Pressured to marry a nice Orthodox Jewish woman, Motti is thrown for a loop when he falls for classmate Laura, who his mother will never approve of.",3489.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABewBqRrosmlA_4AL1gRjEfmUxTOufjrEpj_nXKkQmillljp2v5KUEPHdoNjoR6MOWnN0jHzpNYk5DC_NFhK-tYYCgXZoxHOJHVa3GHIRl7hYkf0CMqxviTiAmiE.jpg?r=b68,https://m.media-amazon.com/images/M/MV5BMDhmZjE1NzQtYTg5OC00NjdiLTgxNjMtN2ExNWE1MmJmODU3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=nl7KRMpcuEM,YouTube
Nailed It! France,Reality-TV,"Reality TV,French TV Shows,Food & Travel TV,Family Watch Together TV,Competition Reality TV",French,Series,8.2,"Portugal,India,Greece,Lithuania,Hungary,Brazil,Romania,Slovakia,United Kingdom,Thailand,Canada,Argentina,Belgium,Iceland,South Africa,United States,Czech Republic,Australia,Japan,Singapore,France,Sweden,South Korea,Hong Kong,Netherlands,Poland,Russia,Turkey,Spain,Italy,Switzerland,Mexico,Israel,Germany,Malaysia,Colombia",< 30 minutes,,,Victor Artus Solaro,,6.4,,,,,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81061828,https://www.imdb.com/title/tt10990804,"On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",87.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSJeVyC_Wp9Zazn9zOsaojnYJuUH0lwzJY7evPgrZNI3AsBc_kJp0NipXHLhRW7R26tkVT7wT4sQIZgmEc1zZ8AEnqMo55Q3CTbtD-lAdnbO5C-zXCGU0hCPwXI.jpg?r=a65,https://m.media-amazon.com/images/M/MV5BNmQ4Njg3MDctM2E3My00YmNiLWIzOTUtM2I0ODUxODU1ZDc4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
Brotherhood,Drama,"Latin American TV Shows,Brazilian TV Shows,TV Thrillers,TV Dramas,Crime TV Dramas",English,Series,7.3,"Portugal,Greece,Brazil,Mexico,Thailand,Romania,United Kingdom,Argentina,Spain,Canada,Belgium,Iceland,South Africa,United States,Czech Republic,Australia,France,South Korea,Poland,Netherlands,Japan,Sweden,Russia,Singapore,Hong Kong,Germany,India,Hungary,Turkey,Slovakia,Lithuania,Italy,Switzerland,Israel,Malaysia,Colombia",< 30 minutes,Richard Bell,Richard Bell,"Brendan Fehr, Spencer Macpherson, Brendan Fletcher, Jake Manley",,4.8,,,1.0,2.0,,06 Dec 2019,2019-10-25,,https://www.netflix.com/watch/80221210,https://www.imdb.com/title/tt7220118,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",122.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfECGZeXEhpK99V4i_bZWEid89UT36vfDpvYXpfXLjP-pKFVyr8kjEVon4jHZCu3TcsDB8KC5O5r31OvVfatyStBXjhxkDmIioafyVbwr0GyMAtfKep6FdpxhW8.jpg?r=543,https://m.media-amazon.com/images/M/MV5BZDkzOTM1ZTYtYjE5Mi00NTc1LTkyNmMtNDk1NzFiNDQ0YmQ3XkEyXkFqcGdeQXVyMzg0MTc0NzU@._V1_SX300.jpg,,
Nailed It! Spain,Reality-TV,"Spanish TV Shows,Reality TV,Family Watch Together TV,Competition Reality TV,Food & Travel TV",Spanish,Series,7.8,"Portugal,Greece,India,Lithuania,Hungary,Mexico,Brazil,United Kingdom,Romania,Slovakia,Spain,Thailand,Argentina,Canada,Belgium,Iceland,United States,South Africa,Czech Republic,Australia,Japan,Russia,Hong Kong,Sweden,Poland,Netherlands,South Korea,Singapore,Turkey,Italy,Switzerland,France,Israel,Germany,Malaysia,Colombia",< 30 minutes,,,"Pepa Charro, Christian Escribà",,5.6,,,,,,25 Oct 2019,2019-10-25,,https://www.netflix.com/watch/81062582,https://www.imdb.com/title/tt10981666,"On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",75.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR59Fw7xTtlstpHnT_vwN5gQixmDD7bRIv6t2mIf0iS_gDpupeRoi_V9BEnanDQYoBcKXGJ-jdvoxtSTpTfslCIhIP116C2Ewm93azvayYUkn4m3Toa1Tp3SSjg.jpg?r=b3f,https://m.media-amazon.com/images/M/MV5BZGUxMmEyZjctNzkzMC00N2NlLThjOTUtMGE5MTdlZmY0MzFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
The Untamed,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Romance","TV Mysteries,Mainland Chinese TV Shows,TV Shows Based on Books,TV Action & Adventure,Chinese TV Shows,Fantasy TV Shows",Chinese,Series,7.9,"Thailand,Romania,South Africa,Belgium,Australia,Singapore,France,Poland,Czech Republic,Sweden,Russia,Hong Kong,Germany,Portugal,India,Lithuania,Hungary,Slovakia,United Kingdom,Spain,Canada,Iceland,Turkey,Switzerland,Argentina,Mexico,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Lu Xuan, Yibo Wang, Zhan Xiao, Zhuocheng Wang",,8.9,,,8.0,11.0,,27 Jun 2019,2019-10-24,,https://www.netflix.com/watch/81200228,https://www.imdb.com/title/tt10554898,"In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past.",3138.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQGB0EKhQh_Z46r6V5Ra88XhVGfxJQ5xwtZ68LBljqA2KQknsQUaqzzKmwg2OZ501wnNzJJ9lFgmtnifGdVZBCTDWA.jpg?r=b94,https://m.media-amazon.com/images/M/MV5BOWJhOTg5MDktNzY2Yi00MTgzLTg3NDItNDhlY2Q2MzFiNDg3XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SX300.jpg,,
Consequences ,"Crime, Drama, Thriller","Dramas,Thrillers,Turkish Movies,International Thrillers,International Dramas",Turkish,Movie,7.5,"Thailand,Australia,Czech Republic,Russia,France,Singapore,Belgium,Poland,Hungary,India,Slovakia,Germany,Lithuania,Romania,United Kingdom,Canada,South Africa,Iceland,Switzerland,Greece,United States,Turkey,Malaysia,Israel",1-2 hour,Ozan Açiktan,"Cem Akas, Faruk Ozerten, Ozan Açiktan","Nehir Erdogan, Ilker Kaleli, Tardu Flordun, Esra Bezen Bilgin",,6.6,,,4.0,1.0,,07 Mar 2014,2019-10-24,,https://www.netflix.com/watch/81132444,https://www.imdb.com/title/tt3176134,Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.,1534.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXW1cs8Rn4uAjvUrMghyCMjPzEQ74z8rIIKwmM0x4nlnddfglMCEfNQAJDV-GVqHWrb1vmfYcLP6s4phLmmiBnu0Vg.jpg?r=fd3,https://m.media-amazon.com/images/M/MV5BMTg3NTIyNDMxNF5BMl5BanBnXkFtZTgwNzM4NjMzMTE@._V1_SX300.jpg,,
Echo in the Canyon,"Documentary, Music","Documentaries,Music & Concert Documentaries,Country & Western/Folk,Music,Documentary Films,Music & Musicals,Music & Musicals",English,Movie,7.6,"United States,Canada,Greece,Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Andrew Slater,"Andrew Slater, Eric Barrett","Lou Adler, The Beach Boys, Beck, Fiona Apple",PG-13,6.9,90.0,69.0,2.0,3.0,"$3,355,324",07 Jun 2019,2019-10-24,,https://www.netflix.com/watch/81034741,https://www.imdb.com/title/tt8884430,"An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians.",2489.0,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQnUTL5cwa19m6ZEzlyHg5c1aLD0J3rSFoI8U4qjLL1QsnSVsjy5Fv2G6K3MDtnPE8HV1Q7xfRS0FYzPpYWmKOCTmg.jpg?r=79f,https://m.media-amazon.com/images/M/MV5BMTY2NjExNzItMTQyMi00YzNkLTgzOTQtZWE4N2IwNzhiOGFlXkEyXkFqcGdeQXVyOTM5NzYzNTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=QRVFBQHBUls,YouTube
